UF;MUNICIPIO;TIPO;QUANTIDADE
AC;PORTO ACRE;CAMINHONETE;407
AC;PORTO ACRE;CAMIONETA;41
AC;PORTO ACRE;CHASSI PLATAF;0
AC;PORTO ACRE;CICLOMOTOR;6
AC;PORTO ACRE;MICRO-ONIBUS;3
AC;PORTO ACRE;MOTOCICLETA;2050
AC;PORTO ACRE;MOTONETA;144
AC;PORTO ACRE;ONIBUS;47
AC;PORTO ACRE;QUADRICICLO;0
AC;PORTO ACRE;REBOQUE;31
AC;PORTO ACRE;SEMI-REBOQUE;10
AC;PORTO ACRE;SIDE-CAR;0
AC;PORTO ACRE;OUTROS;2
AC;PORTO ACRE;TRATOR ESTEI;0
AC;PORTO ACRE;TRATOR RODAS;0
AC;PORTO ACRE;TRICICLO;0
AC;PORTO ACRE;UTILITARIO;4
AC;PORTO WALTER;AUTOMOVEL;4
AC;PORTO WALTER;BONDE;0
AC;PORTO WALTER;CAMINHAO;9
AC;PORTO WALTER;CAMINHAO TRATOR;0
AC;PORTO WALTER;CAMINHONETE;28
AC;PORTO WALTER;CAMIONETA;0
AC;PORTO WALTER;CHASSI PLATAF;0
AC;PORTO WALTER;CICLOMOTOR;0
AC;PORTO WALTER;MICRO-ONIBUS;0
AC;PORTO WALTER;MOTOCICLETA;215
AC;PORTO WALTER;MOTONETA;48
AC;PORTO WALTER;ONIBUS;5
AC;PORTO WALTER;QUADRICICLO;0
AC;PORTO WALTER;REBOQUE;0
AC;PORTO WALTER;SEMI-REBOQUE;0
AC;PORTO WALTER;SIDE-CAR;0
AC;PORTO WALTER;OUTROS;0
AC;PORTO WALTER;TRATOR ESTEI;0
AC;PORTO WALTER;TRATOR RODAS;0
AC;PORTO WALTER;TRICICLO;0
AC;PORTO WALTER;UTILITARIO;1
AC;RIO BRANCO;AUTOMOVEL;70071
AC;RIO BRANCO;BONDE;0
AC;RIO BRANCO;CAMINHAO;4271
AC;RIO BRANCO;CAMINHAO TRATOR;503
AC;RIO BRANCO;CAMINHONETE;17835
AC;RIO BRANCO;CAMIONETA;3538
AC;RIO BRANCO;CHASSI PLATAF;8
AC;RIO BRANCO;CICLOMOTOR;481
AC;RIO BRANCO;MICRO-ONIBUS;236
AC;RIO BRANCO;MOTOCICLETA;73068
AC;RIO BRANCO;MOTONETA;13651
AC;RIO BRANCO;ONIBUS;837
AC;RIO BRANCO;QUADRICICLO;0
AC;RIO BRANCO;REBOQUE;2885
AC;RIO BRANCO;SEMI-REBOQUE;867
AC;RIO BRANCO;SIDE-CAR;55
AC;RIO BRANCO;OUTROS;24
AC;RIO BRANCO;TRATOR ESTEI;0
AC;RIO BRANCO;TRATOR RODAS;3
AC;RIO BRANCO;TRICICLO;130
AC;RIO BRANCO;UTILITARIO;1144
AC;RODRIGUES ALVES;AUTOMOVEL;185
AC;RODRIGUES ALVES;BONDE;0
AC;RODRIGUES ALVES;CAMINHAO;18
AC;RODRIGUES ALVES;CAMINHAO TRATOR;2
AC;RODRIGUES ALVES;CAMINHONETE;114
AC;RODRIGUES ALVES;CAMIONETA;3
AC;RODRIGUES ALVES;CHASSI PLATAF;0
AC;RODRIGUES ALVES;CICLOMOTOR;1
AC;RODRIGUES ALVES;MICRO-ONIBUS;1
AC;RODRIGUES ALVES;MOTOCICLETA;976
AC;RODRIGUES ALVES;MOTONETA;274
AC;RODRIGUES ALVES;ONIBUS;9
AC;RODRIGUES ALVES;QUADRICICLO;0
AC;RODRIGUES ALVES;REBOQUE;0
AC;RODRIGUES ALVES;SEMI-REBOQUE;1
AC;RODRIGUES ALVES;SIDE-CAR;0
AC;RODRIGUES ALVES;OUTROS;0
AC;RODRIGUES ALVES;TRATOR ESTEI;0
AC;RODRIGUES ALVES;TRATOR RODAS;0
AC;RODRIGUES ALVES;TRICICLO;0
AC;RODRIGUES ALVES;UTILITARIO;2
AC;SANTA ROSA DO PURUS;AUTOMOVEL;16
AC;SANTA ROSA DO PURUS;BONDE;0
AC;SANTA ROSA DO PURUS;CAMINHAO;5
AC;SANTA ROSA DO PURUS;CAMINHAO TRATOR;0
AC;SANTA ROSA DO PURUS;CAMINHONETE;22
AC;SANTA ROSA DO PURUS;CAMIONETA;0
AC;SANTA ROSA DO PURUS;CHASSI PLATAF;0
AC;SANTA ROSA DO PURUS;CICLOMOTOR;0
AC;SANTA ROSA DO PURUS;MICRO-ONIBUS;0
AC;SANTA ROSA DO PURUS;MOTOCICLETA;117
AC;SANTA ROSA DO PURUS;MOTONETA;17
AC;SANTA ROSA DO PURUS;ONIBUS;3
AC;SANTA ROSA DO PURUS;QUADRICICLO;0
AC;SANTA ROSA DO PURUS;REBOQUE;3
AC;SANTA ROSA DO PURUS;SEMI-REBOQUE;0
AC;SANTA ROSA DO PURUS;SIDE-CAR;0
AC;SANTA ROSA DO PURUS;OUTROS;0
AC;SANTA ROSA DO PURUS;TRATOR ESTEI;0
AC;SANTA ROSA DO PURUS;TRATOR RODAS;0
AC;SANTA ROSA DO PURUS;TRICICLO;0
AC;SANTA ROSA DO PURUS;UTILITARIO;0
AC;SENA MADUREIRA;AUTOMOVEL;1501
AC;SENA MADUREIRA;BONDE;0
AC;SENA MADUREIRA;CAMINHAO;119
