"Região Habilitação Atual,""UF Habilitação Atual"",""Sexo"",""Faixa Etária"",""Categoria"",""Qt. Condutor Histórico"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""51 a 60"",""D-Condutor Ônibus"",""20.091"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""51 a 60"",""E-Condutor Carreta"",""2.439"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""51 a 60"",""XB-Condutor Ciclomotor/Carro"",""3"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""61 a 70"",""A-Condutor Moto"",""173"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""61 a 70"",""AB-Condutor Moto/Carro"",""10.495"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""61 a 70"",""AC-Condutor Moto/Caminhão"",""756"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""61 a 70"",""AD-Condutor Moto/Ônibus"",""4.768"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""61 a 70"",""AE-Condutor Moto/Carreta"",""663"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""61 a 70"",""B-Condutor Carro"",""53.075"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""61 a 70"",""C-Condutor Caminhão"",""2.073"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""61 a 70"",""D-Condutor Ônibus"",""14.514"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""61 a 70"",""E-Condutor Carreta"",""1.623"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""61 a 70"",""XB-Condutor Ciclomotor/Carro"",""1"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""61 a 70"",""XC-Condutor Ciclomotor/Caminhão"",""1"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""71 a 80"",""A-Condutor Moto"",""33"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""71 a 80"",""AB-Condutor Moto/Carro"",""2.910"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""71 a 80"",""AC-Condutor Moto/Caminhão"",""106"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""71 a 80"",""AD-Condutor Moto/Ônibus"",""886"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""71 a 80"",""AE-Condutor Moto/Carreta"",""85"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""71 a 80"",""B-Condutor Carro"",""32.133"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""71 a 80"",""C-Condutor Caminhão"",""878"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""71 a 80"",""D-Condutor Ônibus"",""5.916"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""71 a 80"",""E-Condutor Carreta"",""410"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""71 a 80"",""XB-Condutor Ciclomotor/Carro"",""1"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""81 a 90"",""A-Condutor Moto"",""12"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""81 a 90"",""AB-Condutor Moto/Carro"",""794"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""81 a 90"",""AC-Condutor Moto/Caminhão"",""23"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""81 a 90"",""AD-Condutor Moto/Ônibus"",""195"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""81 a 90"",""AE-Condutor Moto/Carreta"",""5"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""81 a 90"",""B-Condutor Carro"",""15.287"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""81 a 90"",""C-Condutor Caminhão"",""329"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""81 a 90"",""D-Condutor Ônibus"",""2.394"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""81 a 90"",""E-Condutor Carreta"",""79"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""91 a 100"",""AB-Condutor Moto/Carro"",""138"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""91 a 100"",""AC-Condutor Moto/Caminhão"",""4"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""91 a 100"",""AD-Condutor Moto/Ônibus"",""23"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""91 a 100"",""B-Condutor Carro"",""4.620"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""91 a 100"",""C-Condutor Caminhão"",""45"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""91 a 100"",""D-Condutor Ônibus"",""364"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""91 a 100"",""E-Condutor Carreta"",""1"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""101 a 120"",""AB-Condutor Moto/Carro"",""14"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""101 a 120"",""AD-Condutor Moto/Ônibus"",""1"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""101 a 120"",""B-Condutor Carro"",""472"""
"Centro-Oeste,""Distrito Federal"",""Masculino"",""101 a 120"",""D-Condutor Ônibus"",""10"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""18 a 21"",""A-Condutor Moto"",""69"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""18 a 21"",""AB-Condutor Moto/Carro"",""2.465"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""18 a 21"",""B-Condutor Carro"",""17.130"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""22 a 25"",""A-Condutor Moto"",""273"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""22 a 25"",""AB-Condutor Moto/Carro"",""6.175"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""22 a 25"",""AD-Condutor Moto/Ônibus"",""15"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""22 a 25"",""B-Condutor Carro"",""40.749"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""22 a 25"",""D-Condutor Ônibus"",""36"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""26 a 30"",""A-Condutor Moto"",""455"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""26 a 30"",""AB-Condutor Moto/Carro"",""11.026"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""26 a 30"",""AC-Condutor Moto/Caminhão"",""1"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""26 a 30"",""AD-Condutor Moto/Ônibus"",""134"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""26 a 30"",""AE-Condutor Moto/Carreta"",""2"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""26 a 30"",""B-Condutor Carro"",""64.478"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""26 a 30"",""C-Condutor Caminhão"",""1"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""26 a 30"",""D-Condutor Ônibus"",""225"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""26 a 30"",""E-Condutor Carreta"",""1"""
